ServiceApprovalNumber,Provider Approval Number,ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,Last Service Approval Transfer Date,Long Day Care,Preschool/Kindergarten - Part of a School,Preschool/Kindergarten - Stand alone,Outside school Hours Care - After School,Outside school Hours Care - Before School,Outside school Hours Care - Vacation Care,Other,Annual Monday Start Time,Annual Monday End Time,Annual Tuesday Start Time,Annual Tuesday End Time,Annual Wednesday Start Time,Annual Wednesday End Time,Annual Thursday Start Time,Annual Thursday End Time,Annual Friday Start Time,Annual Friday End Time,Annual Saturday Start Time,Annual Saturday End Time,Annual Sunday Start Time,Annual Sunday End Time,School Terms Only Session 1 Monday Start Time,School Terms Only Session 1 Monday End Time,School Terms Only Session 1 Tuesday Start Time,School Terms Only Session 1 Tuesday End Time,School Terms Only Session1 Wednesday Start Time,School Terms Only Session1 Wednesday End Time,School Terms Only Session1 Thursday Start Time,School Terms Only Session1 Thursday End Time,School Terms Only Session 1 Friday Start Time,School Terms Only Session 1 Friday End Time,School Terms Only Session 1 Saturday Start Time,School Terms Only Session 1 Saturday End Time,School Terms Only Session1 Sunday Start Time,School Terms Only Session 1 Sunday End Time,School Terms Only Session 2 Monday Start Time,School Terms Only Session 2 Monday End Time,School Terms Only Session 2 Tuesday Start Time,School Terms Only Session 2 Tuesday End Time,School Terms Only Session 2 Wednesday Start Time,School Terms Only Session 2 Wednesday End Time,School Terms Only Session 2 Thursday Start Time,School Terms Only Session2 Thursday End Time,School Terms Only Session 2 Friday Start Time,School Terms Only Session 2 Friday End Time,School Terms Only Session 2 Saturday Start Time,School Terms Only Session 2 Saturday End Time,School Terms Only Session 2 Sunday Start Time,School Terms Only Session 2 Sunday End Time,Holiday Care Monday Start Time,Holiday Care Monday End Time,Holiday Care Tuesday Start Time,Holiday Care Tuesday End Time,Holiday Care Wednesday Start Time,Holiday Care Wednesday End Time,Holiday Care Thursday Start Time,Holiday Care Thursday End Time,Holiday Care Friday Start Time,Holiday Care Friday End Time,Holiday Care Saturday Start Time,Holiday Care Saturday End Time,Holiday Care Sunday Start Time,Holiday Care Sunday End Time,Temporarily Closed
SE-00002627,PR-00002502,Jack & Jill Kindergarten,Young Mens Christian Association Of Ballarat Inc,Centre-Based Care,19 Robson Lane,ARARAT,VIC,3377,353522673,,ararat.jack.jill.kin@kindergarten.vic.gov.au,,30,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar-20,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Working Towards NQS,Working Towards NQS,Jun-16,1/01/2019,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,9:00,14:00,,,9:00,14:00,9:00,14:00,,,,,9:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00002628,PR-00002502,St Andrews Kindergarten,Young Mens Christian Association Of Ballarat Inc,Centre-Based Care,275 Barkly Street,ARARAT,VIC,3377,353522621,,st.andrews.ararat.kin@kindergarten.vic.gov.au,,30,1/01/2012,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Jul-18,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jan-13,1/01/2019,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,9:00,14:00,9:00,14:00,,,9:00,14:00,,,,,,,,,,,9:00,14:00,,,,,,,,,,,,,,,,,,,,,,,No
SE-00002630,PR-00002502,Willaura & District Kindergarten,Young Mens Christian Association Of Ballarat Inc,Centre-Based Care,91 Main Street,WILLAURA,VIC,3379,343111589,,willaura.kin@kindergarten.vic.gov.au,,22,1/01/2012,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Jul-18,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-13,1/01/2019,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,9:00,14:00,,,9:00,14:00,9:00,14:00,,,,,,,9:00,14:00,9:00,14:00,9:00,14:00,,,,,,,,,,,,,,,,,,,,,No
SE-00002632,PR-40011040,East Sale Kindergarten,UNITING (VICTORIA AND TASMANIA) LIMITED,Centre-Based Care,Heart Road RAAF Base,SALE EAST,VIC,3852,351466723,351466723,eastsale.els@vt.uniting.org,,28,1/01/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Oct-17,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Nov-13,1/07/2017,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,9:00,15:45,9:00,15:45,9:00,15:45,9:00,15:45,9:00,15:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00002633,PR-40011040,Stratford Kindergarten,UNITING (VICTORIA AND TASMANIA) LIMITED,Centre-Based Care,15 Dixon Street,STRATFORD,VIC,3862,351456446,351457195,stratford.els@vt.uniting.org,,55,1/01/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,May-17,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug-13,1/07/2017,No,No,Yes,No,No,No,No,9:00,15:00,9:00,15:00,,,9:00,15:00,9:00,15:00,,,,,9:00,15:00,9:00,15:00,,,9:00,15:00,9:00,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00002634,PR-00001947,Young Street Kindergarten,Early Childhood Management Services Inc,Centre-Based Care,23 Young St,BACCHUS MARSH,VIC,3340,353672443,,youngstreet@ecms.org.au,,60,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Sep-18,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-14,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,8:30,16:00,8:30,16:00,8:30,17:00,8:30,17:00,8:30,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00002635,PR-40011040,Bacchus Marsh Montessori Preschool,UNITING (VICTORIA AND TASMANIA) LIMITED,Centre-Based Care,176 Gisborne Road,BACCHUS MARSH,VIC,3340,353677706,,bacchusmarsh.els@vt.uniting.org,,58,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-18,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Jul-14,1/07/2017,No,No,Yes,No,No,No,No,,,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,,,,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00002636,PR-00002203,Bacchus Marsh Child Care & Kindergarten Centre,Northwest Family Services Pty Ltd,Centre-Based Care,6 Clifton Drive,BACCHUS MARSH,VIC,3340,353673936,353678830,bmckc@bigpond.com,,50,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Nov-16,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Aug-14,,Yes,No,No,No,No,No,No,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00002637,PR-00002163,Pentland Childcare & Kindergarten Centre,Pentland Child Care & Kindergarten Centre Pty Ltd,Centre-Based Care,138-140 Halletts Way,BACCHUS MARSH,VIC,3340,03 5367 5248,03 5367 5207,pcckc1@bigpond.com,,100,1/01/2012,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Mar-20,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Jan-18,,Yes,No,No,No,No,No,No,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00002638,PR-00001332,Bairnsdale Kindergarten,Bairnsdale Kindergarten Inc,Centre-Based Care,37 Turnbull Street,BAIRNSDALE,VIC,3875,03 5152 3151,03 5153 0856,bairnsdale.kin@kindergarten.vic.gov.au,"No more than one nominated educator can be counted under this waiver in the diploma level qualified educator to child ratios.

The nominated educator must hold an approved certificate III level qualification. The educator to child ratio for children aged 36 months of age to preschool age will be at least one educator to 12 children.",60,1/01/2012,Working Towards NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Working Towards NQS,Working Towards NQS,Dec-16,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug-13,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,8:00,15:30,,,8:00,15:30,,,,,,,,,,,8:00,15:30,,,8:00,15:30,,,,,,,,,,,,,,,,,,,,,No
SE-00002639,PR-00001914,Westdale Kindergarten,Westdale Kindergarten Inc,Centre-Based Care,99 Wallace Street,BAIRNSDALE,VIC,3875,03 5152 3897,03 5152 3897,westdale.kin@kindergarten.vic.gov.au,"•	Where the service is unable to comply with Regulation 136, the approved provider must ensure that all staff present at the education and care service follow the procedures identified in the application for temporary waiver.
•	The approved provider must ensure that practical training is undertaken as soon as practicable for the relevant qualifications for all staff.
•	The approved provider must ensure they notify the Regulatory Authority within 14 days if the waiver is no longer required.
",26,1/01/2012,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Jun-16,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Oct-12,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,12:00,16:00,8:30,15:00,,,8:30,15:00,,,,,,,,,,,8:30,16:00,,,8:30,16:00,,,,,,,,,,,,,,,,,,,No
SE-00002640,PR-40011040,Bairnsdale Early Learning Centre,UNITING (VICTORIA AND TASMANIA) LIMITED,Centre-Based Care,72 Lucknow Street,BAIRNSDALE,VIC,3875,351522580,,bairnsdale.els@vt.uniting.org,,60,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-16,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-12,1/07/2017,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,9:00,14:30,9:00,14:30,9:00,14:30,9:00,14:30,9:00,14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00002642,PR-00001950,Lindenow & District Kindergarten,Lindenow & District Preschool Inc,Centre-Based Care,152 Main Road,LINDENOW,VIC,3865,03 5157 1458,,lindenow.kin@kindergarten.vic.gov.au,The educator to child ratio for children aged 36 months of age to preschool age will be at least 1 educator to 12.5 children.,25,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,May-19,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-15,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,9:00,15:00,9:00,13:00,9:00,15:00,,,,,,,9:00,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00002643,PR-40011040,Paynesville Kindergarten,UNITING (VICTORIA AND TASMANIA) LIMITED,Centre-Based Care,100 Langford Parade,PAYNESVILLE,VIC,3880,351529600,351566905,paynesville.els@vt.uniting.org,,52,1/01/2012,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Oct-17,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-13,1/07/2017,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,9:20,14:20,9:20,14:20,9:20,14:20,,,,,,,,,,,9:00,14:00,9:00,14:00,9:00,14:00,,,,,,,,,,,,,,,,,,,,,No
SE-00002644,PR-00002232,Ballan & District Preschool,Eureka Community Kindergarten Association Inc,Centre-Based Care,88 Simpson Street,BALLAN,VIC,3342,353681228,,ballan.kin@kindergarten.vic.gov.au,,59,1/01/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jul-17,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Dec-12,17/08/2020,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,8:30,16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00002645,PR-00002232,Bakery Hill Kindergarten,Eureka Community Kindergarten Association Inc,Centre-Based Care,82 Mair Street East,BALLARAT,VIC,3350,03 5332 6872,,bakery.hill.kin@kindergarten.vic.gov.au,,55,1/01/2012,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-18,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Nov-13,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,8:30,16:00,8:30,17:00,8:30,17:00,8:30,17:00,8:30,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00002646,PR-00002232,Iris Ramsay Kindergarten,Eureka Community Kindergarten Association Inc,Centre-Based Care,105-107 Lonsdale Street,BALLARAT,VIC,3350,03 5335 7590,,iris.ramsay.kin@kindergarten.vic.gov.au,,55,1/01/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Jun-19,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Oct-14,,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,9:00,14:00,9:00,14:00,9:00,14:00,9:00,14:00,9:00,14:00,,,,,8:45,13:45,8:45,13:45,9:15,11:45,8:45,13:45,,,,,,,,,,,,,,,,,,,,,No
SE-00002647,PR-40011040,Enid Rogers Jubilee Kindergarten,UNITING (VICTORIA AND TASMANIA) LIMITED,Centre-Based Care,2 Forest Street,BALLARAT,VIC,3350,353391084,,enidrogers.els@vt.uniting.org,,33,1/01/2012,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Sep-19,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Oct-13,1/07/2017,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,8:45,12:20,8:45,12:20,8:45,11:35,8:45,12:20,8:45,12:20,,,,,,,,,12:30,15:20,,,,,,,,,,,,,,,,,,,,,,,No
SE-00002648,PR-00002232,St Alipius Kindergarten,Eureka Community Kindergarten Association Inc,Centre-Based Care,78 Victoria Street,BALLARAT,VIC,3350,353314272,,alipius.kin@kindergarten.vic.gov.au,,28,1/01/2012,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Jun-16,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Jun-13,30/08/2019,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,8:45,13:45,8:45,13:45,8:45,13:45,8:45,13:45,9:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
